instante,HS10_mean,HS20_mean,HS30_mean,HS30_min,HS40_mean,HS50_mean,HS60_mean,TS30_mean,dendrometro_mean,litros_arbol_last,litros_intervalo_sum,evento_riego_max,TA_mean,HA_mean,radiacion_mean
2018-07-10 00:00:00,0.8386227181792724,0.8359380863916691,0.8237207087767852,0.8236153354632588,0.7721870638616403,0.8511729531055168,0.7657277070063694,28.2,38.73340297787551,288.8,0.0,0.0,21.173333333333332,78.58333333333333,0.0
2018-07-10 01:00:00,0.837166610749794,0.8352246570454339,0.8233881369426751,0.8232,0.7719157392686805,0.8507206677265501,0.7653088369507249,28.2,38.73593219214437,288.8,0.0,0.0,20.878333333333334,78.66666666666667,0.0
2018-07-10 02:00:00,0.8356180781745187,0.8343128847774071,0.8229338375796179,0.8227,0.7714971337579618,0.850345593382817,0.7648862061470023,28.2,38.737864417989414,288.8,0.0,0.0,20.746666666666666,77.8,0.0
2018-07-10 03:00:00,0.8341175988324405,0.8334265061145821,0.8223335028218552,0.822,0.7710857595887383,0.8499058823529412,0.7644753763598743,28.2,38.74,288.8,0.0,0.0,20.585,78.64999999999999,0.0
2018-07-10 04:00:00,0.8326336311301935,0.832702793079704,0.8217524952406509,0.8215011146496816,0.7706899843970985,0.8496083532483402,0.7641689454160042,28.2,38.74057299947006,288.8,0.0,0.0,20.400000000000002,80.36666666666666,0.4983333333333333
2018-07-10 05:00:00,0.83125116622537,0.8317503988660554,0.821278832162061,0.8210888712241654,0.7701632275132275,0.849314702195505,0.7638925955414013,28.058717541070482,38.742523184949654,288.8,0.0,0.0,20.351666666666667,82.08333333333333,33.23166666666666
2018-07-10 06:00:00,0.8296819782690147,0.8308031688488788,0.82064315463834,0.8204254372019079,0.7697167081843928,0.8489390658174097,0.7636129926854544,28.0,38.745,288.8,0.0,0.0,22.401666666666667,77.08333333333333,160.28333333333333
2018-07-10 07:00:00,0.8285187101910828,0.8297793312608225,0.8199923933956437,0.8195977707006369,0.7691006634819533,0.8486528927813164,0.7633348359037194,28.0,38.74846470276009,288.8,0.0,0.0,24.76833333333333,77.43333333333334,331.96666666666664
2018-07-10 08:00:00,0.836443313620852,0.8368872861254485,0.8199305705480677,0.8188,0.7682159250858202,0.8483093843562558,0.7630360934182591,27.983864118895966,38.761060983232035,291.2,2.3999999999999773,1.0,26.28333333333333,68.58833333333334,498.46666666666664
2018-07-10 09:00:00,0.8731275773440256,0.8761675010716975,0.8627737238618093,0.8445356120826709,0.7984970541746487,0.8486183084989004,0.7628678878953888,27.600000000000005,38.765,303.6,12.400000000000034,1.0,28.526666666666667,49.928333333333335,649.6333333333333
2018-07-10 10:00:00,0.8748776083540593,0.8752518083957238,0.8656357691352151,0.8647,0.8364020889341767,0.8588075668476923,0.763956609055001,27.43720190779014,38.76572983014862,319.0,15.399999999999977,1.0,30.515,40.46,767.8333333333334
2018-07-10 11:00:00,0.8778067216330249,0.8769736869618071,0.866161332779691,0.8639047846889952,0.8364423595661611,0.8650133853621701,0.7690694226458348,27.399999999999995,38.76415111240633,331.8,12.800000000000011,1.0,32.365,34.64833333333333,839.0
2018-07-10 12:00:00,0.8697368666551536,0.8613300956683835,0.8514277531432325,0.8459859872611465,0.812095224919324,0.8628875124019274,0.7721147699759919,27.399999999999995,38.75147226645435,331.8,0.0,0.0,33.85,34.291666666666664,860.0
2018-07-10 13:00:00,0.8641343287832767,0.8526994212470657,0.8414633305000759,0.8382891719745222,0.8000535225498004,0.8609251710496558,0.7721,27.501435406698565,38.74077823576022,331.8,0.0,0.0,33.296666666666674,46.123333333333335,828.3333333333334
2018-07-10 14:00:00,0.8590852770497466,0.848748176789687,0.8356405868101057,0.8338540669856459,0.7940038782901087,0.8597420929458853,0.7718025306281047,27.600000000000005,38.7346199422993,331.8,0.0,0.0,32.934999999999995,47.24,752.1333333333333
2018-07-10 15:00:00,0.8561416194295863,0.8461164165071492,0.831856891770694,0.8305720894371627,0.7898693913409911,0.8588636566784383,0.7715939090208171,27.600000000000005,38.733101114649685,331.8,0.0,0.0,32.65333333333333,48.36666666666667,636.7333333333333
2018-07-10 16:00:00,0.853059836901426,0.8437123166730792,0.8292294417891036,0.8279,0.7864419774663327,0.8580711539416553,0.7713766314043258,27.741312335958003,38.7325,331.8,0.0,0.0,31.67833333333333,49.43833333333333,484.43333333333334
